,country,year,Electricity,Heat,Manufactured gases,Natural gas,Non-renewable waste,Oil and petroleum products,Peat and peat products,Renewables and biofuels	,Solid fossil fuels,Total
0,Cyprus,2015,351.798,1.218,0.0,0.0,12.324,937.759,0.0,117.142,3.679,1423.92
1,Cyprus,2016,378.28700000000003,1.194,0.0,0.0,15.835,975.14,0.0,120.154,0.0,1490.61
2,Cyprus,2017,390.529,1.287,0.0,0.0,21.553,999.544,0.0,135.657,2.98,1551.55
3,Cyprus,2018,401.08500000000004,1.286,0.0,0.0,22.969,949.683,0.0,192.633,13.614,1581.27
4,Cyprus,2019,406.155,1.229,0.0,0.0,30.786,974.935,0.0,197.276,17.199,1627.58
5,Iceland,2015,1502.146,600.697,0.0,0.0,0.0,545.139,0.0,107.634,93.004,2848.62
6,Iceland,2016,1487.793,666.382,0.0,0.0,0.0,536.656,0.0,110.539,0.0,2801.37
7,Iceland,2017,1538.416,643.6,0.0,0.0,0.0,549.655,0.0,117.289,0.0,2848.96
8,Iceland,2018,1589.628,805.566,0.0,0.0,0.0,558.696,0.0,124.99,0.0,3078.88
9,Iceland,2019,1567.2179999999998,729.862,0.0,0.0,0.0,538.689,0.0,98.721,0.0,2934.49
10,Luxembourg,2015,535.181,51.288,0.0,602.164,13.591,2146.49,0.0,139.229,49.137,3537.08
11,Luxembourg,2016,547.4850000000001,52.573,0.0,632.936,13.031,2090.13,0.0,149.741,52.384,3538.28
12,Luxembourg,2017,549.819,59.03,0.0,623.561,13.81,2147.42,0.0,166.189,45.331,3605.16
13,Luxembourg,2018,555.4399999999996,67.008,0.0,623.227,14.906,2261.58,0.0,172.159,42.13,3736.45
14,Luxembourg,2019,549.9999999999995,85.393,0.0,623.165,14.815,2309.76,0.0,161.03,42.617,3786.78
15,Malta,2015,181.77100000000007,0.143,0.0,0.0,0.0,267.006,0.0,13.423,0.0,462.343
16,Malta,2016,182.048,0.072,0.0,0.0,0.0,263.113,0.0,13.526,0.0,458.759
17,Malta,2017,199.23000000000002,0.0,0.0,0.0,0.0,269.152,0.0,23.998,0.0,492.38
18,Malta,2018,205.183,0.0,0.0,0.0,0.0,281.14,0.0,28.477,0.0,514.8
19,Malta,2019,214.37099999999998,0.021,0.0,0.0,0.0,301.272,0.0,31.875,0.0,547.539
20,Montenegro,2015,230.35200000000003,0.0,0.0,0.0,0.0,251.301,0.0,169.552,11.439,662.644
21,Montenegro,2016,229.66399999999993,0.0,0.0,0.0,0.0,279.809,0.0,166.829,12.459,688.761
22,Montenegro,2017,245.486,0.0,0.0,0.0,0.0,309.882,0.0,163.867,9.654,728.889
23,Montenegro,2018,244.76400000000007,0.0,0.0,0.0,0.0,327.614,0.0,150.683,6.572,729.633
24,Montenegro,2019,262.61400000000003,0.0,0.0,0.0,0.0,343.938,0.0,146.527,7.546,760.625
