,Country Name,Indicator Name,2015,2016,2017,2018,2019,2020
5,Albania,GDP (current US$),11386846319.1589,11861200797.4707,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
14,Austria,GDP (current US$),381817565893.574,395568644341.038,416207272209.538,454872626780.005,445075391688.156,428965397959.456
17,Belgium,GDP (current US$),462149679343.822,475739588764.759,501522868356.441,543410654016.602,533254518108.234,515332499627.861
21,Bulgaria,GDP (current US$),50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5776,68558815111.6199,69105101089.5531
24,Bosnia and Herzegovina,GDP (current US$),16211541820.2438,16913330693.9653,18080118128.3854,20183510561.2553,20202479537.5193,19788422248.1072
37,Switzerland,GDP (current US$),702149580770.901,695600652899.283,704478516963.855,735889205256.251,731474367940.429,747968636174.008
53,Cyprus,GDP (current US$),19842404304.8929,20953442550.3653,22729184365.1152,25309818138.8758,24949065263.6292,23804340376.9275
54,Czech Republic,GDP (current US$),188033050459.881,196272068576.338,218628940951.675,248950103352.137,250686478649.064,243530379896.813
55,Germany,GDP (current US$),3356235704119.75,3467498002104.33,3673506280844.4,3961831911429.22,3861123558039.21,3806060140124.52
58,Denmark,GDP (current US$),302673070846.857,313115929314.339,332121063806.391,356879499797.896,350104327658.675,355184024841.254
70,Spain,GDP (current US$),1195119269971.52,1232076017361.53,1309297246509.31,1421459363680.67,1393490524517.64,1281199091016.35
71,Estonia,GDP (current US$),23048864242.6072,24259552888.9717,26885077004.7802,30616184212.1592,31471100656.2431,31029968591.2779
75,Finland,GDP (current US$),234440080998.273,240607907010.383,255016517537.983,275849574507.692,268966065200.0,271233883403.892
77,France,GDP (current US$),2438207896251.84,2471285607081.72,2588740901639.81,2786502569559.77,2715518274227.45,2603004395901.95
81,United Kingdom,GDP (current US$),2932784751846.27,2693247611031.81,2662484018735.82,2857316524862.61,2830813507746.87,2707743777173.91
82,Georgia,GDP (current US$),14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583,15891688903.1843
89,Greece,GDP (current US$),195317994377.197,192732474229.218,199630819054.302,212146107548.996,205326724570.227,189410106620.016
99,Croatia,GDP (current US$),49525747503.8149,51601147665.8089,55481644098.0495,61375222347.0256,60752588976.3175,55966581780.1688
101,Hungary,GDP (current US$),125074286021.14,128470534117.954,142961605733.026,160431092908.646,163503650313.081,155012927629.087
111,Ireland,GDP (current US$),291521892625.047,299556360839.631,338503196943.167,385967106117.099,398590210120.337,418621818482.305
114,Iceland,GDP (current US$),17517210519.0912,20793168030.9524,24728285177.4603,26224228693.3954,24836714771.4638,21714670569.6033
116,Italy,GDP (current US$),1835899237320.04,1875797463583.87,1956950469673.29,2091117091124.1,2004913357800.0,1886445268340.71
143,Lithuania,GDP (current US$),41418872976.1196,43018087237.5741,47640770634.427,53696648755.4347,54639938780.2352,55887271833.0025
144,Luxembourg,GDP (current US$),57744457954.7297,60691483443.1221,64023412339.7075,70885325883.0941,71104919108.1411,73263982103.0119
145,Latvia,GDP (current US$),27239653843.5022,28052325862.0461,30383528686.2906,34399206589.8596,34055464655.3254,33505185228.7067
150,Moldova,GDP (current US$),7745231660.33425,8071480540.86068,9669759987.02633,11456728401.3069,11968699005.9801,11914040905.2626
157,North Macedonia,GDP (current US$),10071243243.2432,10680463278.8651,11310265324.7941,12679934731.3891,12547086168.4896,12266949805.1436
159,Malta,GDP (current US$),11091434483.5238,11721521912.7202,13221298307.8894,14864712990.1631,15215714309.0974,14647384607.604
162,Montenegro,GDP (current US$),4054712082.54743,4377033429.26721,4856632399.45775,5506767831.83751,5542674764.89028,4778582336.18234
176,Netherlands,GDP (current US$),765264949780.999,783528181704.567,831809944960.879,913597086062.6,907050863145.097,912242335119.069
177,Norway,GDP (current US$),385801550067.169,368827142857.143,398393955268.99,436999692591.454,405510000000.0,362008956544.827
190,Poland,GDP (current US$),477811911394.084,472630364208.177,526508877305.321,587408980271.71,595862086928.211,594164690894.936
194,Portugal,GDP (current US$),199313894327.486,206286022781.894,220811110492.149,242194788533.537,239510770948.274,231255587276.741
201,Romania,GDP (current US$),177729210874.504,188128818486.401,211695422578.655,241457403085.042,249696854574.199,248715551366.635
214,Serbia,GDP (current US$),39655958842.5478,40692643373.0327,44179055279.8887,50640650221.4622,51475016532.1293,52960134078.6888
221,Slovak Republic,GDP (current US$),88467555243.7256,89655253976.4258,95209466459.44,105474651206.555,105119160234.117,104574146248.365
222,Slovenia,GDP (current US$),43090173394.6913,44736333522.4522,48466592281.6155,54135187443.8136,54174227308.8862,52880473699.8803
223,Sweden,GDP (current US$),505103781349.757,515654671469.547,541018749769.097,555455371487.089,531283304459.667,537609865719.019
244,Turkey,GDP (current US$),864316670330.882,869692960365.551,858996263095.858,778377023568.884,761428183369.171,720101212394.114
248,Ukraine,GDP (current US$),91030959454.6961,93355993628.5042,112190355158.178,130901858421.72,153929501862.341,155582008717.426
261,Kosovo,GDP (current US$),6442915788.30578,6719172016.82533,7245707184.81699,7942961738.30893,7953156068.06986,7611402165.24217
