,Country Name,Land Area(sq.km)
5,Albania,27400.0
14,Austria,82520.0
17,Belgium,30280.0
21,Bulgaria,108560.0
24,Bosnia and Herzegovina,51200.0
53,Cyprus,9240.0
55,Germany,349370.0
58,Denmark,40000.0
70,Spain,499547.35
71,Estonia,43470.0
75,Finland,303920.0
77,France,547557.0
81,United Kingdom,241930.0
82,Georgia,69490.0
89,Greece,128900.0
99,Croatia,56590.0
101,Hungary,91260.0
111,Ireland,68890.0
114,Iceland,100250.0
116,Italy,294140.0
143,Lithuania,62641.0
144,Luxembourg,2430.0
145,Latvia,62110.0
150,Moldova,32890.0
157,North Macedonia,25220.0
159,Malta,320.0
162,Montenegro,13450.0
176,Netherlands,33670.0
177,Norway,365122.96
190,Poland,306190.0
194,Portugal,91605.6
201,Romania,230080.0
214,Serbia,87460.0
222,Slovenia,20138.1
223,Sweden,407310.0
244,Turkey,769630.0
248,Ukraine,579300.0
261,Kosovo,10887.0
