Date;Albania;Austria;Bulgaria;Belgium;Bosnia and Herzegovina;Switzerland;Cyprus;Czech Republic;Germany;Denmark;Estonia;Greece;Spain;Finland;France;Croatia;Hungary;Ireland;Iceland;Italy;Lithuania;Luxembourg;Latvia;Montenegro;North Macedonia;Malta;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Sweden;Slovenia;Slovakia;Turkey;United Kingdom
12/31/10;2.7008716491;3.4570267249;3.2454442311;6.1323879788;3.7775833511;2.5009656808;3.655825639;5.1165075918;5.3923612024;7.2503395361;6.2400098324;3.1304659504;4.4978937149;5.5458445812;5.2166232922;3.9301297266;4.9230305152;6.2175957923;5.6469756284;3.26279845;5.9797787369;5.7044109483;5.966779932;3.0677808594;2.736053979;;6.3830900508;4.3749862964;5.9913606964;4.9444516332;4.0672970582;4.1410462134;5.3377371666;3.31483638;4.2990787076;3.2766325895;6.3486214051
12/31/11;2.5458693048;3.2783016098;3.0073888865;6.4531646265;3.498424538;2.2964943609;3.5420822939;5.0274484089;5.6272564567;7.913178237;6.8854147369;3.0428081156;4.1557804323;5.9095966898;5.0189560431;3.7046579915;4.5128102549;7.1003216136;6.4920977568;3.02040443;6.3943525653;5.6735430123;6.5721901522;2.766329192;2.5780210516;;6.9477396196;4.8725627714;6.1171971489;4.5547420937;3.7979008074;3.7828344377;5.8646304517;3.1492335918;4.0627609186;3.1549697497;7.1291544519
12/31/12;2.6192865316;3.4626047624;3.2105676369;6.4631811028;3.8210244917;2.5484400169;3.6802520056;5.2093544457;5.6311419933;7.7887250994;6.7110527704;3.1791014913;4.3726882267;5.8083052179;5.3333127553;4.0072833645;4.9551852798;6.8154334304;6.102298936;3.2555600217;6.2490272362;5.9095226524;6.3617235909;2.9151613311;2.7159265311;;6.7937141722;4.6923943399;5.9903563243;4.6125080977;4.0073693701;4.0381875388;5.5934322555;3.4487953246;4.3192187666;3.2619477754;6.8208350449
12/31/13;2.6341899612;3.3838252583;3.1142805762;6.4229623006;3.7939808527;2.4588720179;3.924294082;5.0973463052;5.4798738941;7.5030248165;6.3306257073;3.1689754781;4.6672176795;5.8267639301;5.3020089094;3.8331822196;4.8652565129;7.0516379333;6.0205765063;3.1830198144;5.9317290411;5.8116326791;6.0004612428;2.9953256495;2.734894239;;6.8010074348;4.6277164846;5.8744864215;4.9639011088;4.0792654976;4.031034968;5.6453682133;3.2663960884;4.2810220274;3.3744780661;7.106371149
12/31/14;2.4853284842;3.3238058744;3.0100259754;6.4228149317;3.5682119881;2.36210974;3.5081858764;4.9759484446;5.3628340816;7.6794870335;6.2777991568;2.9440486843;4.5649328536;5.6186651118;5.2249144074;3.82218408;4.6941355663;6.8689266489;6.1923550539;3.0895920279;6.0823722189;5.6151377842;6.1011642449;2.7483787599;2.507197486;;6.7692594036;4.7407770175;5.9148503035;4.9594992206;3.9858627391;3.9307199148;5.5145442813;3.2819317467;4.1343451741;3.1596428292;6.9556183555
12/31/15;2.4935248114;3.4133563536;3.0792516117;6.7670774353;3.7478575198;2.392840465;3.7232115433;5.2565021965;5.7248458188;8.2050802626;6.8089321161;3.0737277625;4.2463992533;6.1517412368;5.2890126491;3.9000945429;4.7296223387;7.3324141004;6.7154731935;3.0843732321;6.3510944386;6.0238593812;6.4386772885;2.7738489963;2.6049426988;;7.2080499824;4.9910257185;6.243193541;4.6715535486;3.9794028124;3.8341134908;6.0270178509;3.3368859126;4.2414271781;3.2321513334;7.4219322926
12/31/16;2.6110944624;3.302186497;3.1797882939;6.3253844599;3.8677307963;2.34593792;3.7179608111;4.9209509759;5.3341978797;7.4430833313;6.4171920597;3.1614206434;4.364267303;5.5525437107;5.1251095758;3.9012267723;4.7573814208;6.8093326665;5.7746047175;3.2287572764;6.065129717;5.6489921352;6.1594731647;2.9499442309;2.6936288186;;6.611829254;4.4713842545;5.8545239673;4.8943655372;4.0376032471;3.9492868965;5.4788443393;3.2840826462;4.1047196693;3.4072254479;6.7646748137
12/31/17;2.6373834641;3.5520724589;3.3144663869;6.3164342231;3.9220094175;2.4338489156;3.5390367313;5.3257216361;5.6465626333;7.8132616925;6.6063709397;3.1009411276;4.2660348902;5.7538094158;5.1642530735;4.0673697438;5.0621568508;6.9117128397;5.9863287828;3.2482887044;6.2138244821;5.715311991;6.3372753609;3.0072401823;2.7355579359;;6.7247745228;4.7016755532;6.3589950716;4.7514561672;4.1797157901;4.11688485;5.7293394708;3.3954551174;4.4375026645;3.2546934406;7.0629088957
12/31/18;2.5765206741;3.3427009138;3.005453923;6.2868651007;3.6841678223;2.4224697677;3.6493809681;5.1550122982;5.4405278352;7.3908934448;6.2862958191;3.1206542381;4.3706894317;5.6753507582;5.1891134558;3.7564814012;4.6800740853;6.8606332609;6.2348903887;3.1475730243;5.8058517556;5.7411669213;5.9644564976;2.7826093258;2.5408117955;;6.7211139528;4.5962912702;5.8711785016;4.7734062019;3.8682763799;3.9896365493;5.4614650391;3.1660249224;4.2061897749;3.2093082743;6.8893135834
12/31/19;2.6687858599;3.5269541517;3.262210299;6.5966293111;3.6969658296;2.541599823;3.7183529636;5.2871687934;5.6827508322;7.6974763723;6.7159972443;3.1657647663;4.5592812512;5.8041349986;5.4266508591;3.9439889119;4.9828024802;6.9437341087;6.0957348532;3.3268269139;6.4180626271;5.9803008174;6.4376660331;3.0672001783;2.7525472094;;6.9521432802;4.5153076169;6.3449222951;4.9369532394;3.9728722954;4.0226045629;5.585871033;3.3115110444;4.4582892481;3.243609836;6.8469706634
12/31/20;2.6273848118;3.3036977193;3.2129881454;6.8858181488;3.781982518;2.4375829126;3.7323586411;5.1180316913;5.6819719003;7.8139952637;7.2209802498;3.1885272136;4.2790468347;6.2056892788;5.4707690368;3.9227514722;4.7844222176;7.3192417207;6.6417132371;3.1000479982;6.5194640034;6.147821503;6.764467916;2.9337963971;2.6925629414;;7.2029601381;4.9899307651;6.2263277564;4.6302612951;3.9649931273;3.9670362334;6.0187508424;3.3299982901;4.2350671788;3.2696073448;7.3491647
12/31/21;2.6331410385;3.346240885;3.3073010513;6.2091902971;3.7792904203;2.5021950232;3.8081956071;4.7847669154;5.2704434471;6.9540106627;6.4174337993;3.1921773414;4.386814378;5.6228917891;5.2560433474;3.9226045128;4.8216506728;6.195729155;5.7526229793;3.2489335093;5.8717182056;5.7719375291;6.0612001929;3.0038980512;2.8059182097;;6.4182287139;4.3681848662;5.6617843318;4.768227295;3.9767240768;3.9564195814;5.441683223;3.2125397764;4.1459613645;3.6032057107;6.1639398412
