,Country,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00
0,Albania,179.93,176.13,182.69,169.36,178.35
1,Austria,139.49,140.2,142.14,141.81,141.35
2,Belgium,123.71,126.0,121.76,134.21,129.53
3,Bosnia and Herzegovina,162.38,168.49,168.12,162.57,167.79
4,Bulgaria,155.36,153.05,160.87,150.29,156.29
5,Croatia,153.57,153.4,160.39,150.14,154.83
6,Cyprus,219.05,227.5,221.28,217.35,215.63
7,Czech Republic,131.31,130.84,129.13,136.05,132.59
8,Denmark,117.06,120.82,111.51,125.07,118.73
9,Estonia,107.85,110.94,105.28,114.56,111.46
10,Finland,86.12,91.03,88.09,98.5,91.95
11,France,148.77,148.49,148.75,149.72,153.74
12,Germany,126.22,127.41,121.59,134.99,129.56
13,Greece,182.93,188.52,189.29,179.71,185.98
14,Hungary,143.58,147.8,148.52,144.04,146.42
15,Iceland,90.67,95.57,86.69,86.84,88.1
16,Ireland,111.07,111.4,103.79,109.06,108.09
17,Italy,169.51,172.36,176.62,164.34,172.05
18,Latvia,111.17,113.5,106.25,118.24,113.89
19,Lithuania,114.71,113.91,107.76,120.87,117.95
20,Luxembourg,125.83,126.04,126.69,139.1,132.79
21,Malta,,,,,
22,Montenegro,167.33,161.06,168.27,157.15,164.39
23,Netherlands,120.92,124.66,117.51,130.49,124.27
24,North Macedonia,170.21,173.51,176.04,165.94,175.03
25,Norway,91.87,97.29,92.0,99.4,93.35
26,Poland,125.64,124.36,115.35,129.63,125.47
27,Portugal,193.1,193.52,200.98,184.96,194.33
28,Romania,148.5,150.34,151.39,148.79,151.54
29,Serbia,155.75,156.19,161.15,154.03,159.01
30,Slovakia,136.46,137.57,135.6,136.71,134.94
31,Slovenia,144.0,144.51,149.55,142.4,144.53
32,Spain,191.85,192.81,196.64,184.28,196.19
33,Sweden,94.98,100.94,95.25,106.56,98.9
34,Switzerland,151.49,149.56,151.94,151.75,153.88
35,Turkey,194.35,201.45,201.41,193.69,196.64
36,"United Kingdom",109.85,113.28,104.97,112.92,111.19
